Fund Name,Category,NAV,Risk Rating
Meezan Daily Income Fund (Meezan Super Saver Plan) (MSSP),Shariah Compliant Income (Annualized Return),52.6882,
Meezan Islamic Income Fund,Shariah Compliant Income (Annualized Return),54.1142,A+(f)
Meezan Sovereign Fund,Shariah Compliant Income (Annualized Return),54.511,AA(f)
NBP Islamic Government Securities Plan III,Shariah Compliant Income (Annualized Return),10.4765,
NBP Islamic Income Fund,Shariah Compliant Income (Annualized Return),10.5788,A+(f)
NBP Islamic Mahana Amdani Fund,Shariah Compliant Income (Annualized Return),10.5973,A+(f)
NBP Islamic Savings Fund,Shariah Compliant Income (Annualized Return),10.0497,AA-(f)
NBP Riba Free Savings Fund,Shariah Compliant Income (Annualized Return),10.8577,A+(f)
NIT Islamic Income Fund,Shariah Compliant Income (Annualized Return),10.1577,AA-(f)
Pak Oman Advantage Islamic Income Fund,Shariah Compliant Income (Annualized Return),55.1092,A+(f)
Pak Qatar Income Plan,Shariah Compliant Income (Annualized Return),122.7506,AA-(f)
Pak Qatar Khalis Bachat Plan,Shariah Compliant Income (Annualized Return),119.8838,A(f)
Pak Qatar Monthly Income Plan,Shariah Compliant Income (Annualized Return),100.3594,A+(f)
786 Smart Fund,Shariah Compliant Income (Annualized Return),88.021,AA-(f)
ABL Islamic Stock Fund,Shariah Compliant Equity (Absolute Return),34.3425,
AKD Islamic Stock Fund,Shariah Compliant Equity (Absolute Return),112.4235,
Al Ameen Islamic Energy Fund,Shariah Compliant Equity (Absolute Return),347.1319,
Al Ameen Shariah Stock Fund,Shariah Compliant Equity (Absolute Return),513.67,
AL Habib Islamic Stock Fund,Shariah Compliant Equity (Absolute Return),184.4987,
Al Meezan Mutual Fund,Shariah Compliant Equity (Absolute Return),51.8653,
Alfalah GHP Islamic Stock Fund,Shariah Compliant Equity (Absolute Return),75.3135,
Alhamra Islamic Stock Fund,Shariah Compliant Equity (Absolute Return),30.84,
Alhamra Opportunity Fund (Dividend Strategy Plan),Shariah Compliant Equity (Absolute Return),213.4913,
AWT Islamic Stock Fund,Shariah Compliant Equity (Absolute Return),196.6708,
Faysal Islamic Stock Fund,Shariah Compliant Equity (Absolute Return),127.0134,
Faysal Islamic Stock Fund II,Shariah Compliant Equity (Absolute Return),132.9485,
HBL Islamic Equity Fund,Shariah Compliant Equity (Absolute Return),210.3858,
HBL Islamic Stock Fund,Shariah Compliant Equity (Absolute Return),264.4301,
JS Islamic Fund,Shariah Compliant Equity (Absolute Return),284.69,
Lucky Islamic Energy Fund,Shariah Compliant Equity (Absolute Return),100.0,
Lucky Islamic Stock Fund,Shariah Compliant Equity (Absolute Return),140.61,
Meezan Energy Fund,Shariah Compliant Equity (Absolute Return),63.6414,
Meezan Islamic Fund,Shariah Compliant Equity (Absolute Return),168.1631,
NBP Islamic Energy Fund,Shariah Compliant Equity (Absolute Return),22.7683,
NBP Islamic Stock Fund,Shariah Compliant Equity (Absolute Return),26.2347,
NIT Islamic Equity Fund,Shariah Compliant Equity (Absolute Return),20.1,
Pak Qatar Islamic Stock Fund,Shariah Compliant Equity (Absolute Return),276.6188,
JS Islamic Sarmaya Mehfooz Fund (JS Islamic Sarmaya Mehfooz Plan 1),Shariah Compliant Capital Protected (Absolute Return),102.2813,
JS Islamic Sarmaya Mehfooz Fund Plan 2 2020,Shariah Compliant Capital Protected (Absolute Return),99.6526,
NBP Islamic Principal Protection Fund I (NBP Islamic Principal Protection Plan I),Shariah Compliant Capital Protected (Absolute Return),10.3317,
NBP Islamic Principal Protection Fund II (NBP Islamic Principal Protection Fund I),Shariah Compliant Capital Protected (Absolute Return),10.0705,
ABL Islamic Fixed Term Plan I,Shariah Compliant Fixed Rate / Return (Annualized Return),10.2618,
ABL Islamic Fixed Term Plan III,Shariah Compliant Fixed Rate / Return (Annualized Return),10.0879,
ABL Islamic Fixed Term Plan IV,Shariah Compliant Fixed Rate / Return (Annualized Return),10.0288,
Al Ameen Islamic Fixed Term Plan I (M),Shariah Compliant Fixed Rate / Return (Annualized Return),100.0107,
AL Habib Islamic Munafa Fund Plan V,Shariah Compliant Fixed Rate / Return (Annualized Return),100.6416,
Alfalah Islamic Stable Return Fund Plan  X,Shariah Compliant Fixed Rate / Return (Annualized Return),100.5201,
Alfalah Islamic Stable Return Fund Plan IX,Shariah Compliant Fixed Rate / Return (Annualized Return),100.5583,
Alfalah Islamic Stable Return Fund Plan VI,Shariah Compliant Fixed Rate / Return (Annualized Return),102.642,
Alfalah Islamic Stable Return Fund Plan VII,Shariah Compliant Fixed Rate / Return (Annualized Return),102.412,
Alfalah Islamic Stable Return Fund Plan VIII,Shariah Compliant Fixed Rate / Return (Annualized Return),102.4161,
